id,task,downloads,likes,tags,description
almanach/camembert-base,fill-mask,819837,99,"transformers, pytorch, tf, safetensors, camembert, fill-mask, fr, dataset:oscar",[CamemBERT](https://arxiv.org/abs/1911.03894) is a state-of-the-art language model for French based on the RoBERTa model.
Qwen/Qwen2-VL-2B-Instruct,image-text-to-text,2451132,498,"transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191","We're excited to unveil **Qwen2-VL**, the latest iteration of our Qwen-VL model, representing nearly a year of innovation."
OpenGVLab/VideoMAEv2-Large,video-classification,4220,1,"safetensors, VideoMAEv2_Base, vision, video-classification, custom_code, arxiv:2203.12602, arxiv:2303.16727, license:cc-by-nc-4.0",VideoMAEv2-Large model pre-trained for 800 epochs in a self-supervised way on UnlabeldHybrid-1M dataset. It was introduced in the paper [[CVPR23]VideoMAE V2: Scaling Video Masked Autoencoders with Dua
zimengxiong/Qwen-Image-Layered-6bit,image-text-to-image,0,2,"mflux, safetensors, apple-silicon, mlx, quantized, image-decomposition, rgba, image-text-to-image",6-bit quantized version of [Qwen/Qwen-Image-Layered](https://huggingface.co/Qwen/Qwen-Image-Layered) optimized for **Apple Silicon** via [MFLUX](https://github.com/filipstrand/mflux).
nsugianto/detr-resnet50_finetuned_mstabletrnsdet_lsdocelementdetv1type6_v2_s1,object-detection,1752,0,"transformers, tensorboard, safetensors, table-transformer, object-detection, generated_from_trainer, base_model:microsoft/table-transformer-detection, base_model:finetune:microsoft/table-transformer-detection","should probably proofread and complete it, then remove this comment. -->"
m3/sscd-copy-detection,image-feature-extraction,4768,3,"transformers, safetensors, sscd-copy-detection, image-feature-extraction, license:apache-2.0, endpoints_compatible, region:us",refer: https://github.com/facebookresearch/sscd-copy-detection
sentence-transformers/all-MiniLM-L12-v2,sentence-similarity,3137123,302,"sentence-transformers, pytorch, rust, onnx, safetensors, openvino, bert, feature-extraction",This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 384 dimensional dense vector space and can be used for tasks like clustering or semantic search.
crynux-network/sdxl-turbo,text-to-image,596978,3,"diffusers, license:apache-2.0, endpoints_compatible, diffusers:StableDiffusionXLPipeline, region:us",
Qwen/Qwen2.5-Coder-7B,text-generation,1381526,140,"transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen","Qwen2.5-Coder is the latest series of Code-Specific Qwen large language models (formerly known as CodeQwen). As of now, Qwen2.5-Coder has covered six mainstream model sizes, 0.5, 1.5, 3, 7, 14, 32 bil"
Atotti/llm-jp-4-8b-speech-chat,audio-text-to-text,290,8,"transformers, safetensors, llama_for_speech_lm, japanese, speech, audio, speech-to-text, llm-jp",`llm-jp-4-8b-speech-chat` is a Japanese speech-language model for **audio input → text output** interactions.
VAST-AI/TripoSG,image-to-3d,1563,134,"diffusers, safetensors, triposg, 3d-generation, rectified-flow, image-to-3d, arxiv:2502.06608, license:mit",TripoSG is a state-of-the-art image-to-3D generation foundation model that leverages large-scale rectified flow transformers to produce high-fidelity 3D shapes from single images.
ac0hik/Sentiment_Analysis_French,text-classification,97788,2,"transformers, tensorboard, safetensors, camembert, text-classification, generated_from_trainer, dataset:tweet_sentiment_multilingual, base_model:almanach/camembert-base","should probably proofread and complete it, then remove this comment. -->"
nvidia/bigvgan_base_22khz_80band,audio-to-audio,377,0,"PyTorch, neural-vocoder, audio-generation, audio-to-audio, arxiv:2206.04658, license:mit, region:us",[[Paper]](https://arxiv.org/abs/2206.04658) - [[Code]](https://github.com/NVIDIA/BigVGAN) - [[Showcase]](https://bigvgan-demo.github.io/) - [[Project Page]](https://research.nvidia.com/labs/adlr/proje
Jonah-M/ProTrix-Q5_K_M-GGUF,table-question-answering,3,0,"transformers, gguf, llama-cpp, gguf-my-repo, table-question-answering, base_model:pkupie/ProTrix, base_model:quantized:pkupie/ProTrix, license:llama2",This model was converted to GGUF format from [`pkupie/ProTrix`](https://huggingface.co/pkupie/ProTrix) using llama.cpp via the ggml.ai's [GGUF-my-repo](https://huggingface.co/spaces/ggml-org/gguf-my-r
Qwen/Qwen3-TTS-12Hz-1.7B-VoiceDesign,text-to-speech,571907,324,"qwen-tts, safetensors, qwen3_tts, audio, tts, qwen, multilingual, text-to-speech","&nbsp&nbsp🤗 <a href=""https://huggingface.co/collections/Qwen/qwen3-tts"">Hugging Face</a>&nbsp&nbsp | &nbsp&nbsp🤖 <a href=""https://modelscope.cn/collections/Qwen/Qwen3-TTS"">ModelScope</a>&nbsp&nbsp | &"
naver-clova-ix/donut-base-finetuned-cord-v2,image-to-text,20236,119,"transformers, pytorch, vision-encoder-decoder, image-text-to-text, donut, image-to-text, vision, arxiv:2111.15664",Donut model fine-tuned on CORD. It was introduced in the paper [OCR-free Document Understanding Transformer](https://arxiv.org/abs/2111.15664) by Geewok et al. and first released in [this repository](
John6666/prefect-illustrious-xl-v3-sdxl,text-to-image,179448,0,"diffusers, safetensors, text-to-image, stable-diffusion, stable-diffusion-xl, anime, girls, styles",Original model is [here](https://civitai.com/models/1224788/prefect-illustrious-xl?modelVersionId=2081643).
camenduru/RMBG-2.0,image-segmentation,2623,1,"transformers, pytorch, onnx, safetensors, image-segmentation, remove background, background, background-removal","href=""https://huggingface.co/briaai/FIBO"""
alibaba-pai/Wan2.1-Fun-1.3B-InP,text-to-video,907,38,"videox_fun, diffusers, safetensors, i2v, video, video-generation, text-to-video, en",[English](./README_en.md) | [简体中文](./README.md)
